job_title|company_name|location|salary|duties|date_published|

Customer Experience Associate Charlottetown, PEI - Casual|Scotiabank|Charlottetown, PE|Null|Null|Null
Cashier/Customer Service|Petro Canada|Charlottetown, PE+1 location|Null|Null|Null
Warehouse Associate|Surplus Furniture & Mattress Warehouse|Charlottetown, PE|$14 - $15 an hour|Surplus Furniture and Mattress Warehouse is a national furniture chain with locations spanning from Alberta to Newfoundland We offer stability and growth and…|Posted30+ days ago
Part time Delivery Driver Charlottetown, PEI|UNITED PARCEL SERVICE|Charlottetown, PE|$17 an hour|Before you apply to a job, select your language preference from the options available at the top right of this page. Explore your next opportunity at a…|Posted30+ days ago
new(Virtual) Technical Support Representative (Work From Home)|Advantage Communications|Charlottetown, PE•Remote|$13.25 an hour|Our virtual / Work From Home, Technical Support Representatives receive inbound phone calls from users to help them troubleshoot and resolve technical issues…|Posted5 days ago
newReceptionist/Administrative Assistant|Key Murray Law|Charlottetown, PE|$33,000 - $45,000 a year|Key Murray Law is the largest independent law firm in Prince Edward Island. We are an Island-based team of lawyers and professional support staff who are…|Posted4 days ago
Cleaner|Maritime Fun Group|Hunter River, PE|$15.50 an hour|Available Dates: May-October | Wages: $15.50 Required Experience: None required. Job Description: To clean and disinfect amusement park washrooms, kitchen…|Posted30+ days ago
newagronomist|Cavendish Farms Corporation|Summerside, PE|$50,000 - $70,000 a year|or equivalent experience Area of Work Experience Soil science Plant growth and development Plant nutrition Field crops Type of Crops Potatoes Security and…|Posted3 days ago
Production Associate|Master Packaging Inc.|Borden-Carleton, PE|$17.05 an hour|Hourly Rate: $17.05/ + $1 Night Shift / Time and a Half Sunday Premium - average annual gross of $41,000-$42,000.Rotation: 4 on, 4 off (8 Day Rotation).|Posted30+ days ago
dispensary assistant|Sherwood Drug Mart (2010) INC.|Charlottetown, PE|$13.50 an hour|Work Setting Pharmacy or drugstore Work Conditions and Physical Capabilities Fast-paced environment Work under pressure Attention to detail Standing for…|Posted12 days ago
research and development manager|Cavendish Farms Corporation|Summerside, PE|$80,000 - $120,000 a year|Authorize the development of specifications for products or services.Establish procedures and implement policies.Oversee the analysis of data and information.|Posted30+ days ago
Actor|Maritime Fun Group|Hunter River, PE|$13 an hour|Duties include following a set script and story line, improvisation, and altering the “act” based on guest age and reactions.|Posted30+ days ago
Shipper Receiver – Packaging|Vanco Farms|Mount Albion, PE|$15 - $17 an hour|Use of forklift (certification necessary), direct experience in shipping/receiving would be an asset.Customer orders, flexibility to work days and hours as…|Posted30+ days ago
Maintenance Persons|Maritime Fun Group|Hunter River, PE|Null|Null|Null
Summer Camp Counselor|Timber Lake Camp (Shandaken, NY)|Prince Edward Island, PE|$1,500 a month|Must hold a valid driver’s license.Answers phones, talks to prospective and current camper’s parents, sorts mail and assists programming and media teams.|EmployerActive 5 days ago
Cleaner (part-time)|Next Level Group|Charlottetown, PE•Remote|$25,591 - $56,523 a year|You’ll learn how to clean homes efficiently, effectively, and safely.Cleaning homes is hard work, and it’s not for everyone.|EmployerActive 1 day ago
Maintenance|McDONALD'S RESTAURANTS|Charlottetown, PE+1 location|Null|Null|Null
Customer Experience Representative|Indigo Books & Music|Summerside, PE|Null|Null|Null
Early Morning Stocker|PetSmart|Charlottetown, PE|Null|Null|Null
newEntry Level Childcare Assistant|Fun Times Enterprises Ltd|Kensington, PE|$13 an hour|The duties will include (but are not limited to) providing quality child care for children in our centre, educating our children during different stages of…|EmployerActive 4 days ago
Entry Level Technician - Prince Edward Island|Evergreen Technologies, LLC.|Charlottetown, PE•Remote|Null|Null|Null
Dental Assistant|Jobs PEI|Charlottetown, PE+1 location|$23.76 - $25.83 an hour|Duties will include but not limited to: - Assisting dentists and dental hygienists in the delivery of dental services; - Cleaning, sterilizing instruments, and…|Posted30+ days ago
refinery process technician|Nature's Crops International|Kensington, PE|$16 - $20 an hour|Monitor and optimize physical and chemical process for several processing units.Adjust equipment, valves, pumps and controls and process equipment.|Posted11 days ago
RPN - Telemedicine - Medical Cannabis - PEI|Pathway Health|Charlottetown, PE+1 location•Remote|$23 an hour|TCN CTE participates in the provision of health care to patients by applying clinical, cannabinoid knowledge, nursing skills, and judgment to assess patient…|EmployerActive 11 days ago
Receptionist|B. P. Shea Professional Corp.|Charlottetown, PE|$14.25 - $16.55 an hour|Other administration duties (filing, photocopying, filling office supply orders, arranging staff events, etc.).Part-time hours: 25-40 per week.|EmployerActive 5 days ago
labourer - shellfish processing|Maritime Select Lobster Inc.|Alberton, PE|$14.85 an hour|Unload fish and shellfish from fishing vessels and transport them by hand or forklift truck to work area.Weigh fish or shellfish, record weight and pack fish…|Posted30 days ago
newshellfish processing labourer|P.E.I. Mussel King (1994)|Morell, PE|$15 - $17 an hour|Transportation/Travel Information Own transportation Valid driver's licence Public transportation is not available Work Conditions and Physical Capabilities…|Posted5 days ago
Operations Management Trainee Program|Cavendish Farms|New Annan, PE|Null|Null|Null
dishwasher|Mill River Resort|O'Leary, PE|$14 an hour|Sanitize and wash dishes and other items by hand.Clean and sanitize items such as dishwasher mats, carts and waste disposal units.Up to 9 kg (20 lbs).|Posted17 days ago
newReceptionist|Township Chevrolet Buick GMC Ltd|Summerside, PE|$13.50 - $14.00 an hour|You manage the key room, create new and used vehicle files, sign out dealership plates and arrange drivers for vehicle deliveries and pickups.|Posted5 days ago
Casual Clerk 4|Jobs PEI|Montague, PE|$26.37 - $27.48 an hour|Duties include but are not limited to: - greeting clients/visitors and attending to their needs appropriately; receiving, screening, re-directing telephone call…|Posted10 days ago
CAREGiver|Home Instead|Charlottetown, PE|Null|Null|Null
General Park Attendants|Maritime Fun Group|Hunter River, PE|$13 an hour|Required Experience: No experience required, however experience in customer service and cash handling are a definite asset.|Posted30+ days ago
Resident Care Worker|Jobs PEI|Charlottetown, PE+3 locations|$23.41 - $24.41 an hour|Ability to provide physical, psycho social, emotional and spiritual support to residents.Minimum Qualifications: - Successful completion of a recognized…|Posted10 days ago
newAdministrative Assistant|CBCL Limited|Charlottetown, PE|Null|Null|Null
Cleaner|Hunter's Ale House|Charlottetown, PE|$15 - $18 an hour|Cleaning public and staff areas of restaurant, including internal and external entryways.Communicating any repairs/issues to management.|EmployerActive 1 day ago
video game producer|Sculpin|Charlottetown, PE|$50,000 - $70,000 a year|Staff in various areas of responsibility.|Posted30+ days ago
Casual Administrative Support Worker|Jobs PEI|Prince Edward Island|Null|Null|Null
newAdministrative Assistant|CBCL Limited|Charlottetown, PE|Null|Null|Null
Cleaner|Hunter's Ale House|Charlottetown, PE|$15 - $18 an hour|Cleaning public and staff areas of restaurant, including internal and external entryways.Communicating any repairs/issues to management.|Posted14 days ago
video game producer|Sculpin|Charlottetown, PE|$50,000 - $70,000 a year|Staff in various areas of responsibility.|Posted30+ days ago
Casual Administrative Support Worker|Jobs PEI|Prince Edward Island|Null|Null|Null
Farm Worker|Vanco Farms|Mount Albion, PE|$13 - $19 an hour|The Farm Worker is part of the warehouse facility processing team that is grading, processing and packaging potatoes.Comply with protocols for food safety.|Posted30+ days ago
newFull Time Pharmacy Assistant- Summerside|Murphy’s Pharmacies|Prince Edward Island|Null|Null|Null
Casual Cleaners & Custodians|Jobs PEI|Prince Edward Island|Null|Null|Null
Production Laborer|Nature's Crops International|Kensington, PE|$16 - $20 an hour|General maintenance knowledge of mechanical and electrical equipment.This position you will be responsible for the operation of our oil seed expelling…|Posted30+ days ago
newFish plant worker|BEACH POINT PROCESSING COMPANY|Murray Harbour, PE|$14.65 an hour|Disjoint and remove meat from lobsters or other crustaceans preparatory to canning or further processing.Fish And Seafood Plant Cutters And Cleaners Specific…|Posted5 days ago
Part Time Cast Member - Cineplex Cinemas Summerside|Theatre Ops|Summerside, PE|Null|Null|Null
Passenger Service Agent|Menzies Aviation|Charlottetown, PE|Null|Null|Null
Security Guard - Charlottetown Airport|Commissionaires|Charlottetown, PE+1 location|Null|Null|Null
kitchen helper|Tiny Tot|Charlottetown, PE|$13.50 - $17.00 an hour|Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.Handle and store cleaning products.Up to 9 kg (20 lbs).|Posted11 days ago
newFood Counter Attendant|CoffeeNUT Hospitality Inc|Charlottetown, PE+3 locations|$13 an hour| Responds to customers in a friendly manner with an appropriate sense of. Follows proper cash procedures. Prepares orders as requested and ensures accuracy…|Posted4 days ago
Manager, Conservation, Investigation and Enforcement|Jobs PEI|Charlottetown, PE|$39.05 - $48.81 an hour|Duties will include but not limited to: - Be an active conservation officer in the field and provide support to staff on investigation of complaints, provide…|Posted10 days ago
fish plant worker|Seafood 2000 Ltd.|Georgetown, PE|$14.60 an hour|Field Work Location Experience Prince Edward Island Work Site Environment Wet/damp Noisy Odours Cold/refrigerated Transportation/Travel Information Own…|Posted21 days ago
Aquaculture Technician|The Center for Aquaculture Technologies|Souris, PE|Null|Null|Null
Newspaper Delivery Person|The Guardian Newspaper|Charlottetown, PE|Null|Null|Null
Junior Technical Support - Network|Jobs PEI|Charlottetown, PE|$28.08 - $35.14 an hour|Minimum Qualifications: - Applicants must have a university degree or college diploma with major course work in Network Infrastructure;- Minimum 2 years of…|Posted10 days ago
Subway Sandwich Artist®|Subway|Montague, PE+2 locations|Null|Null|Null
newGeneral Labourer|Mid Isle Farms|Albany, PE|$15.35 an hour|Must possess a good safety record and demonstrate “safety first’’ on a continual basis.The General Labourer will be responsible for working at a variety of…|Posted5 days ago
Maintenance Worker|The Salvation Army Centre of Hope|Wellington, PE|$16.84 an hour|Valid Class G Driver’s License with clean driving record (Driver’s abstract is required).Provide an original copy of a Criminal Records Check with vulnerable…|Posted30+ days ago
Production Technician|MDS Coating Technologies Corporation|Slemon Park, PE|$18.50 an hour|Ability to work shift work on a weekly rotating schedule of 4 x 12-hour days rotating to 4 x 12-hour nights.Shifts are from 7 a.m. to 7 p.m. and 7 p.m. to 7 a…|Posted30+ days ago
Level 1 Service Desk|FULLY MANAGED INC|Summerside, PE|Null|Null|Null
Passenger Service Agent|Menzies Aviation|Charlottetown, PE|Null|Null|Null
Theatre Manager (12-Month Contract) - Cineplex Cinemas Charl...|Theatre Ops|Charlottetown, PE|Null|Null|Null
Cashier / Customer Experience Associate|Walmart Canada|Charlottetown, PE+1 location|Null|Null|Null
Maintenance Team Member|THE GABLES PEI|Breadalbane, PE|Null|Null|Null
Casino Surveillance|Red Shores Race Track & Casino|Charlottetown, PE|Null|Null|Null
Sales Associate - 109|Pseudio|Charlottetown, PE|Null|Null|Null
newOperations Employee - Sanitation|Browning Harvey Ltd.|St. John's, NL|$28.60 - $35.75 an hour|This role requires daily sanitation for all processing lines, plant equipment and general facility.The ideal candidate will have completed a Bachelor of…|Posted5 days ago
Drilling Rig Jobs - Canada|Precision Drilling|Canada|$33.00 - $46.50 an hour|**Willing to train for entry level positions**.- Waived waiting period for single/family extended health and dental benefits.|Posted30+ days ago
Administrative Assistant|Gerry O'Brien Financial - Sun Life Canada|Mount Pearl, NL|$40,000 - $80,000 a year|Answering client requests via telephone and Email.Some current duties of admin staff include.Some staff are mutual fund/life licensed and some are unlicensed…|Posted13 days ago
newGeneral Labourer Canada- Track Maintenance|Loram Maintenance of Way|St. John's, NL+12 locations|$20 an hour|In this field-based position, we are looking for people with technical skills in mechanical, electrical, hydraulic or machine operations.|Posted6 days ago
Overnight Stocker|Dominion|St. John's, NL|Null|Null|Null
newCustomer Service Representatives|Newfoundland Power|St. John's, NL|Null|Null|Null
Payment Services Officer|Employment and Social Development Canada|Clarenville, NL|$54,878 - $61,379 a year|Preference will be given to veterans first and then to Canadian citizens and permanent residents, with the exception of a job located in Nunavut, where Nunavut…|Posted30+ days ago
newBartender|Big Ben’s Pub|St. John's, NL|Null|Null|Null
storekeeper, drilling rig|Puglisevich Crews and Services Limitied|St. John's, NL|$101,000 - $112,000 a year|Receive, unpack and sort incoming parts, supplies and materials.Prepare requisition orders to replenish parts and supplies.|Posted30+ days ago
Bartender and Server|Boston Pizza - St. John's|St. John's, NL|Null|Null|Null
newberry picker|Iron Berry Inc.|Whitbourne, NL|$14.65 an hour|Load, unload and transfer crates, supplies and farm produce, livestock and poultry.Sort and pack fruits and vegetables.Pick row and orchard crops.|Posted4 days ago
Helpers – Surface and Underground Diamond Drilling|Foraco, Canada|Labrador City, NL|$21 - $25 an hour|Duties and Responsibilities: *Helpers are responsible to assist in the safe operation of surface or underground mechanical or electronic equipment, tools or…|Posted30+ days ago
newWarehouse Person|Versacold|Mount Pearl, NL|Null|Null|Null
Offshore Ice and Environmental Observer (Fixed-Term)|PAL Aerospace|St. John's, NL|Null|Null|Null
newMail Sorter|Equation Staffing Solutions Inc.|Mount Pearl, NL|$16.64 an hour|The job families we place people in comprise of general office & admin support, human resources, customer support, warehousing, trades, machine operators,…|Posted2 days ago
newMail Sorter|Equation Staffing Solutions Inc.|Mount Pearl, NL|$16.64 an hour|The job families we place people in comprise of general office & admin support, human resources, customer support, warehousing, trades, machine operators,…|Posted2 days ago
administrative officer|85242 Newfoundland and Labrador Inc.|Spaniard's Bay, NL|$27.50 an hour|Administer policies and procedures related to the release of records in processing requests under government access to information and privacy legislation.|Posted30+ days ago
data entry clerk|WESTERN PETROLEUM|Lewisporte, NL|$14 an hour|Receive and register documents for data entry.Verify accuracy and completeness of data.Enter data according to specified format.|Posted12 days ago
newEquipment Operator - Temporary Full-time|City Of Mount Pearl|Mount Pearl, NL|$30.43 an hour|The successful candidate will have experience in operating a variety of heavy equipment found within a municipal environment supplemented by graduation from…|Posted3 days ago
Janitor|Terrington Coop|Happy Valley-Goose Bay, NL|$17.54 an hour|Replenish janitorial supplies as required ensuring janitorial closet is kept tidy.Clean and disinfect washrooms, including fixtures, door handles and doors.|Posted13 days ago
newGeneral Labourer|Canadian Maritime Engineering|Clarenville, NL|$13 - $25 an hour|You will be required to wear personal protective equipment, such as a hard hat, eye protection, hearing protection, respirators, safety shoes, and other job…|Posted7 days ago
newDispatcher|Kent Building Supplies|St. John's, NL|Null|Null|Null
newsecurity guard|Garda Canada Security Corp.|St. John's, NL+1 location|$16.75 - $18.25 an hour|Enforce regulations to maintain order and resolve conflicts and to monitor establishment activities.Retail/wholesale establishment/distribution centre.|Posted6 days ago
Receiving Associate|Pipers|St. John's, NL|$14 - $15 an hour|Responsibilities include processing incoming freight and maintaining the smooth flow of goods to the sales floor.Job Types: Full-time, Permanent.|Posted30+ days ago
Station Support Supervisor|PAL Airlines|St. John's, NL|Null|Null|Null
newbookkeeper|85242 Newfoundland and Labrador Inc.|Spaniard's Bay, NL|$28 an hour|Keep financial records and establish, maintain and balance various accounts using manual and computerized bookkeeping systems.Prepare trial balance of books.|Posted4 days ago
Screening Positions Full Time & Part Time|Paladin Security|St. John's, NL|$16.75 an hour|Sustain effective relationships with key stakeholders and visitors through courteous and respectful relations perceived from their viewpoint.|Posted30+ days ago
Production Employee|Canadian Linen & Uniform Services|Mount Pearl, NL|$14.69 an hour|Canadian Linen & Uniform Service (CLAUS) provides uniforms and related products to more than 300,000 customers nationwide, in virtually every industry.|Posted26 days ago
Full-Time Driver|UNITED PARCEL SERVICE|Mount Pearl, NL|$17 an hour|Qualified applicants must have a valid class 5 driver’s license.UPS offers guaranteed wage increases, benefits, pension plan, employee stock purchasing plans…|Posted30+ days ago
newHome Care Worker|Serenity Homecare|St. John's, NL|$17.52 an hour|Ongoing Covid guidance provided to staff, supplies provided under guidance of Health Authority.12 module training and ongoing Covid-19 guidance provided.|Posted5 days ago
newhome support worker|Provincial Homecare|St. John's, NL|$17.52 an hour|Assist clients with bathing and other aspects of personal hygiene.Prepare and serve nutritious meals.Shop for food and household supplies.|Posted7 days ago
newClient Advisor - 23.5hrs/week|RBC|St. John's, NL|Null|Null|Null
bakery clerk|Manna Bakery Limited|St. John's, NL|$13 - $16 an hour|Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment.Estimate or quote prices, credit or contract terms,…|Posted10 days ago
Overnight Baker|Coleman Group of Companies|St. John's, NL|$12.75 - $18.58 an hour|Keeping work area and equipment in a clean and orderly condition.Keeping display cases and other merchandising areas stocked and properly faced at all times in…|Posted30+ days ago
Pre-board Screening Officer|Securitas Canada Ltd.|St. John's, NL+5 locations|Null|Null|Null
Virtual Medical Scribe|Aquity Canada ULC|St. John's, NL•Remote|$16 an hour|Have a HIPPA compliant workspace (four walls, door, no pets or family members present, not in a common living space).|Posted30+ days ago
Forestry Labourers|NL Vegetation Management|Springdale, NL|$19.50 an hour|Workers must be willing to work in various locations across Newfoundland and Labrador.Assist other workers at tree and brush cutting sites.|EmployerActive 18 days ago
Crewing Assistant and MariTime Keeper Positions|Fisheries and Oceans Canada|St. John's, NL•Temporarily Remote|$50,821 - $54,857 a year|10 staff to complete daily tasks for our Fleet personnel such as: answering and responding to phone calls from seagoing employees and the general public,…|Posted27 days ago
medical officer of health (MOH)|Labrador Grenfell Health|Happy Valley-Goose Bay, NL•Remote|$220,147 - $262,714 a year|Licensure by provincial or territorial authorities.Participate in health care policy and planning.|Posted30+ days ago
newlabourer, mine|aboriginal cleaners|Wabush, NL|$22 an hour|Driver's validity licence check.Up to 23 kg (50 lbs).|Posted6 days ago
newBanking Advisor Intern|RBC|Newfoundland and Labrador|Null|Null|Null
Full-Time Hatchery Worker (NL)|Atlantic Poultry Inc.|Blaketown, NL|$15.60 an hour|Do you have a valid driver's license and own transportation to and from work?Valid driver’s license and own transportation to and from work.|EmployerActive 5 days ago
newcleaner|aboriginal cleaners|Wabush, NL|$22 an hour|Driver's validity licence check.Sweep, mop, wash and polish floors.Clean, disinfect and polish kitchen and bathroom fixtures and appliances.|Posted4 days ago
newPublic Works Foreperson|City of St. John's|St. John's, NL|$77,587 - $100,111 a year|Applicants must possess a valid Class 5 License and obtain a Class 3 license with an air brake.Spreadsheet development and maintenance; and the ability to deal…|Posted6 days ago
newStores Worker (Temporary Position) - CF-21-145 - Churchill F...|Nalcor energy|Churchill Falls, NL|Null|Null|Null
newcleaner|aboriginal cleaners|Wabush, NL|$22 an hour|Driver's validity licence check.Sweep, mop, wash and polish floors.Clean, disinfect and polish kitchen and bathroom fixtures and appliances.|Posted4 days ago
newPublic Works Foreperson|City of St. John's|St. John's, NL|$77,587 - $100,111 a year|Applicants must possess a valid Class 5 License and obtain a Class 3 license with an air brake.Spreadsheet development and maintenance; and the ability to deal…|Posted6 days ago
newStores Worker (Temporary Position) - CF-21-145 - Churchill F...|Nalcor energy|Churchill Falls, NL|Null|Null|Null
Health Coach|Ewyn Studios|St. John's, NL|$16 - $18 an hour|_training program to become a Personal Health Coach_._previous sales and customer service experience in the hospitality, retail, beauty, fitness or weight loss…|Posted13 days ago
The Gathering Place Full Time & Part Time|Paladin Security|St. John's, NL|$16.75 an hour|Excellent interpersonal skills and the ability to form relationships with marginalized persons.An understanding of harm reduction and principles of person…|Posted28 days ago
driver, courier service|Canadian Courier Ltd.|Clarenville, NL|$15.00 - $16.50 an hour|Perform pre-trip, en route and post-trip inspection and oversee all aspects of vehicle.Record trip information such as vehicle mileage, fuel costs and any…|Posted13 days ago
Security Guard - Fulltime|Securitas Canada Ltd.|St. John's, NL|Null|Null|Null
Sales Associate|Island Furniture - 50 Aberdeen Ave|St. John's, NL|$47,877 - $75,339 a year|These are full time, permanent positions that offer a great working environment which includes medical and dental benefits, as well as, a pension plan.|Posted20 days ago
Farm Labourers|Country Ribbon|St. John's, NL|$19.50 an hour|High school diploma or equivalent and possession of a valid driver’s license are required.Applicants must be willing to work in a farm setting with live…|Posted30+ days ago
delivery driver|Colemans Furniture World|Channel-Port aux Basques, NL|$15.81 - $17.87 an hour|Record trip information such as vehicle mileage, fuel costs and any problems.Assemble, install and set-up merchandise/products.Up to 45 kg (100 lbs).|Posted10 days ago
Underground Miners - Bolters & Scoop Operators|Beaver Brook Antimony Mine (BBAM)|Glenwood, NL|Null|Null|Null
coffee roaster|Manna Bakery Limited|St. John's, NL|$14 - $18 an hour|Set up and adjust processing and packaging machines.Observe gauges, computer printouts and video monitors to verify specified processing conditions.|Posted12 days ago
newadministrative assistant|Frozen in Time Ltd.|Whitbourne, NL|$16 an hour|Answer telephone and relay telephone calls and messages.Open and distribute regular and electronic incoming mail and other material and co-ordinate the flow of…|Posted4 days ago
newClass 3 Driver|Atlantic Grocery Distributors|Bay Roberts, NL|Null|Null|Null
Packaging Operator (St. John)|Labatt Breweries of Canada|St. John's, NL|$17.16 an hour|Persons with disabilities are encouraged to come forward at any stage of the recruitment process to request accommodations, if needed.|Posted30+ days ago
Kitchen Helper|Magic Foods Ltd|St. John's, NL|$12.75 an hour|Clean and sanitize kitchen including work surfaces, cupboards, storage areas, appliances and equipment, Receive, unpack and store supplies in refrigerators,…|Posted17 days ago
Cleaners|Bee-Clean Building Maintenance|St. John's, NL|Null|Null|Null
Sales Associate|Roots|St. John's, NL|Null|Null|Null
Brewery Packaging Operator|Quidi Vidi Brewery|St. John's, NL|$14 an hour|This includes the safe and efficient use of material handling equipment equipment, as well as the maintenance of a clean and efficient production area.|Posted12 days ago
Scanning Clerk|Stewart McKelvey|St. John's, NL•Remote|Null|Null|Null
newticket seller - cashier|St. John's Sports & Entertainment Ltd.|St. John's, NL|$19.75 an hour|Process money, cheques and credit/debit card payments.Calculate daily/shift payments received and reconcile with total sales.|Posted7 days ago
home support worker|Total Care|Arnold's Cove, NL+1 location|$17.52 an hour|Assist clients with bathing and other aspects of personal hygiene.Launder clothing and household linens.Feed or assist in feeding.|Posted17 days ago
Radiography Technicians (RT2)|Acuren|St. John's, NL|$34.66 - $49.48 an hour|Successful candidates will have a Canadian Nuclear Safety Commission (CNSC) Certified Exposure Device Operator (CEDO) certification or will be required to…|Posted30+ days ago
labourer - shellfish processing|Barry Group Inc|Port De Grave, NL+1 location|$16.65 an hour|Clean, sort and pack shellfish.Pack, weigh and stack bound and finished products on pallet for shipment.|Posted26 days ago
Weekend Staff|Get Messy NL|Paradise, NL|$12.75 an hour|We’re looking for a creative, energetic, hard working, responsible and reliable staff for our weekend adventures! We offer birthday parties, drop in art…|Posted13 days ago
newEVENT ASSISTANT|Memorial University of Newfoundland|St. John's, NL|$47,222 - $66,220 a year|Duties include planning, overseeing and managing the week-long Orientation, the White Coat Ceremony, and Graduation events for undergraduate Medicine learners;…|Posted4 days ago
newGrocery/Stock Clerk|Powell's Supermarket|Bay Roberts, NL|Null|Null|Null
home support worker|Elite Home Care Ltd.|St. John's, NL|$17.52 an hour|Prepare and serve nutritious meals.Launder clothing and household linens.Perform light housekeeping and cleaning duties.Up to 9 kg (20 lbs).|Posted13 days ago
Roads and Grounds Operative II|Serco North America|Goose Bay, NL|$25.29 an hour|Possession of a valid NL Driver’s License Class 5 is required (Class 2 and 4 with 9 Endorsement would be an asset).Responsible for recording time daily in TMA.|Posted30+ days ago
front desk clerk, hotel|Manga Hotels (St. John's) Inc|St. John's, NL|$16.23 an hour|Security and Safety Bondable Transportation/Travel Information Own transportation Public transportation is available Work Conditions and Physical Capabilities…|Posted9 days ago
Flight Follower/Load Control|Air Borealis|Happy Valley-Goose Bay, NL|Null|Null|Null
newAircraft Groomer|PAL Aerospace|St. John's, NL|Null|Null|Null
production labourer - food processing|Pride Pak Canada|Paradise, NL|$16.30 an hour|Fruit and vegetable processing plant.Feed and unload processing machines.Manually pack goods into bags and boxes or other containers.|Posted17 days ago
Events & Services Coordinator|The Works|St. John's, NL|$41,033 - $54,710 a year|Ability to work independently with a high degree of accuracy.Provide outstanding customer service to customers, members, and stakeholders.|EmployerActive 6 days ago
video game producer|Other Ocean Interactive|St. John's, NL|$50,000 - $70,000 a year|Staff in various areas of responsibility.|Posted30+ days ago
newTeaching and Learning Assistant|Newfoundland & Labrador English School District|Roddickton, NL|Null|Null|Null
home support worker|Maximum Home Support Services Inc.|Deer Lake, NL+3 locations|$17.52 an hour|Assist clients with bathing and other aspects of personal hygiene.Prepare and serve nutritious meals.Launder clothing and household linens.|Posted9 days ago
GB Cross - Casual Security Guards|Paladin Security|Clarenville, NL|$16.75 an hour|Respond to alarms and emergency calls for assistance.While on patrol, monitor risks such as unlocked doors, blocked entrances and exits, mechanical issues,…|EmployerActive 7 days ago
newhotel cleaner|BAIE VISTA INN LIMITED|Baie Verte, NL|$12.75 an hour|Attend to guests' requests for extra supplies or other items.Wash windows, walls and ceilings.Launder clothing and household linens.|Posted5 days ago
newreceptionist|Laite Law|Clarenville, NL|$14 an hour|Answer telephone and relay telephone calls and messages.Perform clerical duties, such as filing and sorting and distributing mail.|Posted5 days ago
newDishwasher/Kitchen Helper|Gingergrass Thai and Vietnamese Restaurant|St. John's, NL|$12.75 an hour|Ensure that the kitchen is extremely clean.Clear tables during busy hours.Assist the chefs with moving and organizing items in the kitchen.|Posted7 days ago
kitchen helper|Bugden Enterprises|Conception Bay South, NL|$14 an hour|Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.Handle and store cleaning products.|Posted24 days ago
Customer Service|Hebdraulique NL|Mount Pearl, NL|$16 - $18 an hour|With 10 branch’s we are one of Quebec’s most respected industrial distributors, supplying fluid power components, power transmission products, and industrial…|EmployerActive 3 days ago
Garden Center Worker/Supervisor|HUMBER NURSERIES LTD|Corner Brook, NL|$15 - $26 an hour|Provide information to customers on gardening and on care of trees, scrubs, flowers, plants and lawns etc.Must be able to water all inside and outside plants .|EmployerActive 5 days ago
Team Member|Smokes Poutinerie|St. John's, NL|$12.75 an hour|Responsibilities will include guest experience, food preparation,assembly of all dishes, inventory and maintaining cleanliness of restaurant.|EmployerActive 2 days ago
Garden Center Worker/Supervisor|HUMBER NURSERIES LTD|Corner Brook, NL|$15 - $26 an hour|Provide information to customers on gardening and on care of trees, scrubs, flowers, plants and lawns etc.Must be able to water all inside and outside plants .|EmployerActive 5 days ago
Team Member|Smokes Poutinerie|St. John's, NL|$12.75 an hour|Responsibilities will include guest experience, food preparation,assembly of all dishes, inventory and maintaining cleanliness of restaurant.|EmployerActive 2 days ago
Warehouse Associate- Mount Pearl, NL|Chandler|Mount Pearl, NL|Null|Null|Null
Training/Safety Facilitator|Kent Building Supplies|Mount Pearl, NL|Null|Null|Null
newDelivery Driver|Boston Pizza International, Inc.|St. John's, NL|Null|Null|Null
newAdministrative Assistant (Part-Time or Full-Time)|Reflective Marketing|St. John's, NL|$35,000 - $45,000 a year|Sending invoices and setting up payments through Xero;Organizing electronic and paper receipts for our accountant;Following up on late payments;|Posted4 days ago
home health care worker|Home Sweet Home Care Agency Inc.|St. John's, NL|$17.52 an hour|Prepare and serve nutritious meals.Perform light housekeeping and cleaning duties.|Posted19 days ago
newServer|Boston Pizza International, Inc.|St. John's, NL|Null|Null|Null
general labourer - manufacturing|COTTLE'S ISLAND LUMBER COMPANY LIMITED|Summerford, NL|$12.75 - $15.00 an hour|Perform other labouring and elemental activities.Sort, pack, crate and package materials and products.Transport raw materials, finished products and equipment…|Posted12 days ago
Agent de bord|PAL|St. John's, NL|Null|Null|Null
kitchen helper|E&W Enterprises Limited|Carbonear, NL|$12.75 an hour|Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.Handle and store cleaning products.|Posted30+ days ago
Servers - Kelseys|Recipe Unlimited Corporation|St. John's, NL|Null|Null|Null
laundry worker|Northern Light Inn|L'anse Au Clair, NL|$15 an hour|Operate dry cleaning and washing machines, dryers and blow drying machines to clean and dry garments, draperies, cushion covers, sheets, blankets, furs and…|Posted30+ days ago
newDriver - Casual-On Call|Hertz|Gander, NL|Null|Null|Null
Production Technician|Atlantic Cultivation|St. John's, NL|$16 an hour|Ensure shipping and receiving activities are done accurately and on time.Ensure refuse and waste products are managed and destroyed as per the current SOP’s.|Posted23 days ago
newDelivery Driver|Greco Pizza|St. John's, NL|$50 - $150 a day|To be considered, *applicants **must have their own vehicle and a valid driver's license. *.No uniform is required to be worn, and no decorative items required…|Posted3 days ago
